хитрый / сложный / щекотливый,tricky
выбирать,pick
поддержка,rock / support
американские горки,roller-coaster
вверх ногами,upside down
испуганный,terrified
пронзительно кричать / вопить / визжать,scream
расплакаться,to be moved to tears
легко возбудимый,excitable
пытаться,attempt / try
стремиться,tend
захватывающий / волнующий,exciting
писать сценарий,to script
редактировать,edit
павиан,baboon
киносъемка,film shoot
веселящий / бодрящий / возбужденный,exhilarating
виноватый,guilty
умный / элегантный,smart
нерегулярный / случайный,casual
джемпер,jumper
неряшливый,scruffy
модный / стильный,trendy
костюм,suit
бухгалтер,accountant
толстовка,hoody / hoodie
кроссовки,trainers
дизайнер,graphic designer
брендинг,branding
официальный / формальный,formal
ультрамодный,fashionable
бисер,beads
блестки / пайетки,sequins
вышивка,embroidery
чрезмерно,over-the-top
отступить,pull back
роскошь,luxury
ткань,fabric
мастерство,workmanship
скромный,modest
показной,ostentatious
формальный,formality
эксцентричный,eccentric
